id,cabang,bin_awal,bin,sku,article_name,size,kategori,keterangan,tanggal_input,status
351,SURABAYA,DEFECT STORE,DEFECT STORE,31010026NS,31010026 PENTAGON FB COMP BALL - ORTRED/WHITE,NS,D2,PENYOK,2026-04-28T13:40:54.840115+00:00,Pending
352,SURABAYA,DEFECT STORE,DEFECT STORE,JRINIK1832XL,JRINIK183 ZXAG03 - BLACK,2XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
353,SURABAYA,DEFECT STORE,DEFECT STORE,JRLAVO01M,JRLAVO01 JAKET RUNNING - NAVY,M,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
354,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,JN25INDASVM,JN25INDASV 25 INDONESIA SV - WHITE/GREY/BLACK,M,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
355,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,JL24RMAHPIXL,JL24RMAHPI 24 REAL MADRID PI LS - WHITE,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
356,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,JS24RMAHPIS,JS24RMAHPI 24 REAL MADRID PI - WHITE,S,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
357,SURABAYA,DEFECT STORE,DEFECT STORE,JK23INTH26,JK23INTH 23 INTER MILAN KID - BLACK/BLUE,26,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
358,SURABAYA,DEFECT STORE,DEFECT STORE,JSRTR185M,JSRTR185 RETRO MANCHESTER UNITED 98 LS - RED,M,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
359,SURABAYA,DEFECT STORE,DEFECT STORE,JS25RMAAPIL,JS25RMAAPI 25 REAL MADRID PI - DARK BLUE,L,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
360,SURABAYA,DEFECT STORE,DEFECT STORE,JK25MCIA24,JK25MCIA 25 MANCHESTER CITY KID - BLACK,24,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
361,SURABAYA,DEFECT STORE,DEFECT STORE,JS25ARS3S,JS25ARS3 25 ARSENAL - WHITE/RED,S,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
362,SURABAYA,DEFECT STORE,DEFECT STORE,JK25MCIH28,JK25MCIH 25 MANCHESTER CITY KID - BLUE,28,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
363,SURABAYA,DEFECT STORE,DEFECT STORE,JS25BMUSEPIL,JS25BMUSEPI 25 BAYERN MUNCHEN OKTOBERFEST PI - CREAM,L,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
364,SURABAYA,DEFECT STORE,DEFECT STORE,JL25LIVAXL,JL25LIVA 25 LIVERPOOL LS - CREAM,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
365,SURABAYA,DEFECT STORE,DEFECT STORE,JL25ARSHPIL,JL25ARSHPI 25 ARSENAL PI LS - RED/WHITE,L,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
366,SURABAYA,DEFECT STORE,DEFECT STORE,JS25ARSHPIXL,JS25ARSHPI 25 ARSENAL PI - RED/WHITE,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
367,SURABAYA,DEFECT STORE,DEFECT STORE,JL25LIVAS,JL25LIVA 25 LIVERPOOL LS - CREAM,S,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
368,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,CTNIK324M,CTNIK324 C661 (PO) - BROWN,M,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
369,SURABAYA,DEFECT STORE,DEFECT STORE,CJUA273XL,CJUA273 L637 (PO) - BLACK,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
370,SURABAYA,DEFECT STORE,DEFECT STORE,990090340,9900903 FLUX - BLACK/BLACK,40,D2,ADA YANG RUSAK,2026-04-28T13:40:54.840115+00:00,Pending
371,SURABAYA,DEFECT STORE,DEFECT STORE,SFIA169L,SFIA169 REPLIKA AL NASR 2420 - GOLD/BLACK,L,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
372,SURABAYA,DEFECT STORE,DEFECT STORE,SOCOL15XL,SOCOL15 TEAMWEAR BARLOW - WHITE,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
373,SURABAYA,DEFECT STORE,DEFECT STORE,ATBCS38L,ATBCS38 BCSTUDIO X NARROW UNION - WHITE,L,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
374,SURABAYA,DEFECT STORE,DEFECT STORE,PINIK151L,PINIK151 QLP8806 - WHITE,L,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
375,SURABAYA,DEFECT STORE,DEFECT STORE,PINIK212XL,PINIK212 UX03 - BLUE,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
376,SURABAYA,DEFECT STORE,DEFECT STORE,PIJEZ642XL,PIJEZ64 T1108 SS - LIGHT BLUE,2XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
377,SURABAYA,DEFECT STORE,DEFECT STORE,ATLIN35XL,ATLIN35 LNB202 SHIRT - RED,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
378,SURABAYA,DEFECT STORE,DEFECT STORE,ATADI513XL,ATADI513 YWA02  - GREY,XL,D2,KOTOR,2026-04-28T13:40:54.840115+00:00,Pending
379,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,40225143,402251 ACCELERATOR ALPHA NERVE PRO IN - APRICOT WASH/GREEN GECKO/PERSIAN GREEN,43,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
380,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD0344,SPSARD03 NFINITY FLASH - BIRU/HIJAU CITRON,44,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
381,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD0739,SPSARD07 NFINITY FLASH - HITAM/EMAS,39,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
382,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1037,SPSARD10 NFINITY FLASH - ABU ABU/MERAH FUSHIA,37,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
383,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1039,SPSARD10 NFINITY FLASH - ABU ABU/MERAH FUSHIA,39,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
384,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1041,SPSARD10 NFINITY FLASH - ABU ABU/MERAH FUSHIA,41,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
385,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1743,SPSARD17 PRP NFINITY ACE - HIJAU CITRON/HITAM,43,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
386,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1842,SPSARD18 PRP NFINITY ACE - HITAM/FUSHIA,42,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
387,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1840,SPSARD18 PRP NFINITY ACE - HITAM/FUSHIA,40,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
388,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,1102035040,11020350 INSIGNIA IN - DARK GREEN/WHITE,40,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
389,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD0740,SPSARD07 NFINITY FLASH - HITAM/EMAS,40,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
390,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1038,SPSARD10 NFINITY FLASH - ABU ABU/MERAH FUSHIA,38,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
391,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD0339,SPSARD03 NFINITY FLASH - BIRU/HIJAU CITRON,39,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
392,SURABAYA,GL4-DC-DEFECT,GL4-DC-DEFECT,SPSARD1739,SPSARD17 PRP NFINITY ACE - HIJAU CITRON/HITAM,39,D2,OUTSOLE NGELOPEK,2026-04-28T13:40:54.840115+00:00,Pending
