id,created_at,supplier,ekspedisi,total_koli,total_ongkir
339,2026-01-08T12:49:00+00:00,KNR,BARAKA EXPRESS,1,175000
42,2026-02-16T18:55:00+00:00,EXC,BARAKA EXPRESS,1,110000
43,2026-02-17T15:16:00+00:00,DUMBELL,PERSONAL,2,25000
44,2026-02-21T13:55:00+00:00,EXCEED,BARAKA EXPRESS,1,53000
45,2026-02-23T14:41:00+00:00,SM SPORT,BARAKA EXPRESS,1,47000
46,2026-02-25T20:10:00+00:00,JERC,BARAKA EXPRESS,1,89000
47,2026-02-27T12:10:00+00:00,RZQ,JNT CARGO,1,50000
48,2026-02-27T20:13:00+00:00,EXC,BARAKA EXPRESS,1,183000
49,2026-02-28T17:47:00+00:00,ONE MORE,BARAKA EXPRESS,1,30000
50,2026-03-12T12:20:00+00:00,KNR,BARAKA EXPRESS,1,426000
51,2026-03-12T12:20:00+00:00,JERC,BARAKA EXPRESS,1,426000
52,2026-03-12T12:20:00+00:00,DENS SPORT,BARAKA EXPRESS,1,426000
53,2026-03-14T20:48:00+00:00,JERC,BARAKA EXPRESS,1,63000
54,2026-03-14T20:49:00+00:00,ANDI SPORT,BARAKA EXPRESS,1,125000
55,2026-03-29T10:13:00+00:00,NARROW,JNE,1,78000
56,2026-04-01T19:39:00+00:00,KNR,BARAKA EXPRESS,1,58000
57,2026-04-01T19:41:00+00:00,EXC,BARAKA EXPRESS,1,63000
58,2026-04-01T19:43:00+00:00,UNO SPORT,BARAKA EXPRESS,1,162000
59,2026-04-11T15:00:00+00:00,EXCEED,BARAKA EXPRESS,1,79000
60,2026-04-11T13:00:00+00:00,EXCEED,BARAKA EXPRESS,4,341000
61,2026-04-13T18:49:00+00:00,JERC,BARAKA EXPRESS,1,30000
62,2026-04-15T14:02:00+00:00,EXCEED,BARAKA EXPRESS,1,141000
63,2026-04-18T19:17:00+00:00,KNR,BARAKA EXPRESS,1,120000
64,2026-04-18T19:19:00+00:00,ANDI SPORT,BARAKA EXPRESS,1,42000
65,2026-04-18T19:20:00+00:00,WEMBLEY,BARAKA EXPRESS,1,79000
66,2026-04-18T19:30:00+00:00,UNO SPORT,BARAKA EXPRESS,1,393000
67,2026-04-18T19:30:00+00:00,EXC,BARAKA EXPRESS,1,393000
68,2026-04-19T14:27:00+00:00,KINESIO,BARAKA EXPRESS,1,59000
69,2026-04-19T14:27:00+00:00,SM SPORT,BARAKA EXPRESS,1,33000
70,2026-04-24T15:05:00+00:00,EXC,BARAKA EXPRESS,1,68000
71,2026-04-24T15:05:00+00:00,DENS SPORT,BARAKA EXPRESS,1,79000
72,2026-04-24T15:06:00+00:00,X COLLABS SPORTWEAR,BARAKA EXPRESS,1,40000
73,2026-04-24T15:07:00+00:00,SAVIOR,BARAKA EXPRESS,2,180000
74,2026-04-24T15:08:00+00:00,ANDI SPORT,BARAKA EXPRESS,1,39000
75,2026-04-24T15:08:00+00:00,NERO,BARAKA EXPRESS,1,68000
76,2026-04-24T16:37:00+00:00,GHANIOR,JNT CARGO,1,96000
77,2026-04-25T16:15:00+00:00,EXCEED,BARAKA EXPRESS,1,80000
78,2026-04-25T16:15:00+00:00,GOOD SELLER,BARAKA EXPRESS,1,80000
79,2026-04-25T14:23:00+00:00,HIQUA,JNT CARGO,1,26000
80,2026-04-26T15:08:00+00:00,KINESIO,BARAKA EXPRESS,1,189000
81,2026-04-26T15:10:00+00:00,EXC,BARAKA EXPRESS,1,189000
82,2026-03-30T11:26:37+00:00,RTO SEMARANG,ACCESS,68,2720000
83,2026-04-09T11:29:10+00:00,RTO SEMARANG,ACCESS,28,1120000
84,2026-03-02T11:34:42+00:00,RTO SEMARANG,ELITE EXPRESS,40,1682304
85,2026-03-17T11:39:35+00:00,RTO SEMARANG,ACCESS,30,1360000
